113
t_index	 tf-idf 
163	0.09405125224322532
1091	0.05025259800831952
1242	0.03889430638553261
1893	0.16912872262100673
2000	0.07577358018115354
2100	0.04702562612161266
2117	0.27822586194152893
2176	0.05309898893800074
2264	0.1355606904605342
2716	0.02654949446900037
2836	0.04330036047177355
2955	0.04702562612161266
3120	0.06846854234509896
3199	0.033501732005546354
3236	0.08591993250714526
3322	0.0963993494097743
3445	0.08052735812715901
4230	0.09548730187546753
4343	0.10528593034169471
4426	0.05794847548955009
4521	0.07469934149232325
4658	0.06544380085453298
4729	0.02654949446900037
4733	0.07873643587269435
4828	0.07357512059061302
4896	0.06005122647454673
5494	0.05309898893800074
5663	0.0796484834070011
5803	0.06700346401109271
5840	0.09548730187546753
6076	0.06198556986992117
6196	0.05564517238830578
6329	0.06005122647454673
6334	0.07873643587269435
6543	0.03889430638553261
6563	0.08726285527534627
6581	0.02654949446900037
6629	0.05564517238830578
6832	0.05794847548955009
7128	0.10707685259615937
7206	0.14715024118122605
7258	0.08137538869340065
7313	0.05309898893800074
7368	0.07873643587269435
7590	0.07239603839107896
7630	0.10528593034169471
7685	0.02654949446900037
7697	0.03889430638553261
7785	0.05025259800831952
7836	0.08853506433892154
8017	0.22209492885510163
8082	0.06700346401109271
8159	0.0698498549407739
8486	0.3015155880499171
8650	0.033501732005546354
8883	0.0963993494097743
8910	0.13400692802218542
8972	0.0
9335	0.19447153192766303
9368	0.05309898893800074
9400	0.07357512059061302
9736	0.033501732005546354
9771	0.05309898893800074
9947	0.03889430638553261
9992	0.125762061994307
10072	0.02654949446900037
10152	0.016750866002773177
10155	0.033501732005546354
10158	0.12755298424877165
10297	0.05025259800831952
10362	0.0963993494097743
10413	0.03889430638553261
10486	0.13088760170906596
10518	0.05025259800831952
10620	0.06377649212438583
10747	0.1369370846901979
10887	0.09770595903618733
11011	0.11872114035341848
11068	0.10050519601663904
11270	0.0
11592	0.07239603839107896
11608	0.07469934149232325
11610	0.12010245294909346
11821	0.125762061994307
11828	0.08914690439385213
11853	0.08375433001386588
11992	0.10050519601663904
12257	0.07239603839107896
12362	0.05309898893800074
12401	0.05025259800831952
12448	0.09089463380158569
12463	0.125762061994307
12519	0.2402049058981869
12545	0.06544380085453298
12702	0.05564517238830578
12870	0.13023441623547413
13069	0.04702562612161266
13195	0.1574728717453887
13203	0.05564517238830578
13390	0.033501732005546354
13449	0.13023441623547413
13925	0.05564517238830578
14074	0.05794847548955009
14141	0.05794847548955009
14171	0.11872114035341848
14192	0.016750866002773177
14265	0.04330036047177355
14375	0.05794847548955009
14377	0.10619797787600148
14381	0.04702562612161266
14397	0.07357512059061302
14472	0.016750866002773177
14522	0.05025259800831952
